title,authors,first_publish_year,edition_count,subject_count,has_cover,is_available_online,genre,cover_id,ol_key,avg_rating,ratings_count,book_age,ratings_count_filled,avg_rating_filled,popularity_score,is_popular
Pride and Prejudice,Jane Austen,1813.0,4038,95,1,1,fiction,14348537.0,/works/OL66554W,4.1994884910485935,391.0,212.0,391.0,4.1994884910485935,22.143953964194374,1
Alice's Adventures in Wonderland,Lewis Carroll,1865.0,3546,176,1,1,fiction,10527843.0,/works/OL138052W,4.0590909090909095,220.0,160.0,220.0,4.0590909090909095,20.55636363636364,1
A Christmas Carol,Charles Dickens,1843.0,3198,186,1,1,fiction,12875748.0,/works/OL32466W,3.9626168224299065,107.0,182.0,107.0,3.9626168224299065,19.492467289719627,1
The Picture of Dorian Gray,Oscar Wilde,1890.0,3012,66,1,1,fiction,14314858.0,/works/OL8193416W,4.178861788617886,123.0,135.0,123.0,4.178861788617886,20.453447154471544,1
Wuthering Heights,Emily Brontë,1846.0,2886,119,1,1,fiction,12818862.0,/works/OL21177W,4.11578947368421,285.0,179.0,285.0,4.11578947368421,21.173157894736843,1
Adventures of Huckleberry Finn,Mark Twain,1876.0,2622,164,1,1,fiction,8157718.0,/works/OL53908W,3.962962962962963,243.0,149.0,243.0,3.962962962962963,20.309851851851853,1
Robinson Crusoe,"Daniel Defoe, J. J. Grandville, Petrus Borel, Les éditions du Rey, N. C. Wyeth",1686.0,2420,138,1,1,fiction,368541.0,/works/OL45089W,3.92,25.0,339.0,25.0,3.92,18.83,1
The Scarlet Letter,Nathaniel Hawthorne,1800.0,2406,142,1,1,fiction,5654516.0,/works/OL455305W,3.40625,128.0,225.0,128.0,3.40625,17.393,0
Hamlet,William Shakespeare,1603.0,2377,141,1,1,fiction,8281954.0,/works/OL9170454W,4.018072289156627,166.0,422.0,166.0,4.018072289156627,20.068289156626506,1
Emma,Jane Austen,1815.0,2263,98,1,1,fiction,9278312.0,/works/OL66513W,3.9491525423728815,59.0,210.0,59.0,3.9491525423728815,19.15061016949153,1
Oliver Twist,Charles Dickens,1822.0,2209,92,1,1,fiction,13300802.0,/works/OL8193478W,4.08641975308642,81.0,203.0,81.0,4.08641975308642,19.83167901234568,1
Frankenstein or The Modern Prometheus,Mary Shelley,1818.0,2185,157,1,1,fiction,12356249.0,/works/OL450063W,3.963302752293578,218.0,207.0,218.0,3.963302752293578,20.161211009174313,1
Sense and Sensibility,Jane Austen,1811.0,2090,80,1,1,fiction,9278292.0,/works/OL66562W,3.891304347826087,46.0,214.0,46.0,3.891304347826087,18.84121739130435,1
A Tale of Two Cities,Charles Dickens,1800.0,2059,73,1,1,fiction,13301713.0,/works/OL8193465W,3.79,200.0,225.0,200.0,3.79,19.360000000000003,1
The Wonderful Wizard of Oz,L. Frank Baum,1899.0,2049,110,1,1,fiction,552443.0,/works/OL18417W,3.935483870967742,124.0,126.0,124.0,3.935483870967742,19.485935483870968,1
Treasure Island,Robert Louis Stevenson,1880.0,1988,143,1,1,fiction,13859660.0,/works/OL24034W,3.7676767676767677,99.0,145.0,99.0,3.7676767676767677,18.66470707070707,1
Little Women,Louisa May Alcott,1848.0,1888,74,1,1,fiction,8775559.0,/works/OL29983W,4.049180327868853,122.0,177.0,122.0,4.049180327868853,19.928721311475414,1
