title,authors,first_publish_year,edition_count,subject_count,has_cover,is_available_online,genre,avg_rating,ratings_count,page_count,review_length,price_usd,book_age,has_rating,review_density,ratings_norm,editions_norm,popularity_score,is_popular
Pride and Prejudice,Jane Austen,1813.0,4038,95,1,1,fiction,4.1994884910485935,391.0,343,467,8.49,212.0,1,1.3576,0.2896296296296296,0.6637080867850098,4.3528,1
Alice's Adventures in Wonderland,Lewis Carroll,1865.0,3546,176,1,1,fiction,4.0590909090909095,220.0,313,331,10.8,160.0,1,1.0541,0.16296296296296298,0.5828402366863905,3.6511,1
A Christmas Carol,Charles Dickens,1843.0,3198,186,1,1,fiction,3.9626168224299065,107.0,351,336,9.92,182.0,1,0.9545,0.07925925925925927,0.5256410256410257,3.1766,1
The Picture of Dorian Gray,Oscar Wilde,1890.0,3012,66,1,1,fiction,4.178861788617886,123.0,393,206,9.39,135.0,1,0.5228,0.09111111111111111,0.49506903353057197,3.2281,1
Wuthering Heights,Emily Brontë,1846.0,2886,119,1,1,fiction,4.11578947368421,285.0,308,508,7.62,179.0,1,1.644,0.2111111111111111,0.47435897435897434,3.5711,1
Adventures of Huckleberry Finn,Mark Twain,1876.0,2622,164,1,1,fiction,3.962962962962963,243.0,308,377,7.62,149.0,1,1.2201,0.18,0.43096646942800787,3.2926,1
Robinson Crusoe,"Daniel Defoe, J. J. Grandville, Petrus Borel, Les éditions du Rey, N. C. Wyeth",1686.0,2420,138,1,1,fiction,3.92,25.0,395,181,7.23,300.0,1,0.4571,0.018518518518518517,0.3977646285338593,2.6272,1
The Scarlet Letter,Nathaniel Hawthorne,1800.0,2406,142,1,1,fiction,3.40625,128.0,356,339,10.46,225.0,1,0.9496,0.09481481481481481,0.39546351084812625,2.683,1
Hamlet,William Shakespeare,1603.0,2377,141,1,1,fiction,4.018072289156627,166.0,297,407,9.4,300.0,1,1.3658,0.12296296296296297,0.39069690992767914,3.0143,1
Emma,Jane Austen,1815.0,2263,98,1,1,fiction,3.9491525423728815,59.0,346,303,9.83,210.0,1,0.8732,0.0437037037037037,0.3719592373438527,2.6625,1
Oliver Twist,Charles Dickens,1822.0,2209,92,1,1,fiction,4.08641975308642,81.0,297,289,7.08,203.0,1,0.9698,0.06,0.3630834976988823,2.7523,1
Frankenstein or The Modern Prometheus,Mary Shelley,1818.0,2185,157,1,1,fiction,3.963302752293578,218.0,297,428,10.87,207.0,1,1.4362,0.16148148148148148,0.3591387245233399,3.0484,1
Sense and Sensibility,Jane Austen,1811.0,2090,80,1,1,fiction,3.891304347826087,46.0,331,150,10.32,214.0,1,0.4518,0.034074074074074076,0.3435239973701512,2.5346,1
A Tale of Two Cities,Charles Dickens,1800.0,2059,73,1,1,fiction,3.79,200.0,228,333,7.84,225.0,1,1.4541,0.14814814814814814,0.33842866535174226,2.8806,1
The Wonderful Wizard of Oz,L. Frank Baum,1899.0,2049,110,1,1,fiction,3.935483870967742,124.0,237,253,7.72,126.0,1,1.063,0.09185185185185185,0.33678500986193294,2.7376,1
Treasure Island,Robert Louis Stevenson,1880.0,1988,143,1,1,fiction,3.767676767676768,99.0,293,340,7.73,145.0,1,1.1565,0.07333333333333333,0.326758711374096,2.5806,1
Little Women,Louisa May Alcott,1848.0,1888,74,1,1,fiction,4.049180327868853,122.0,271,278,8.21,177.0,1,1.0221,0.09037037037037036,0.31032215647600264,2.7118,1
Macbeth,William Shakespeare,1508.0,1866,145,1,1,fiction,3.979020979020979,143.0,335,356,9.09,300.0,1,1.0595,0.10592592592592592,0.3067061143984221,2.7291,1
Gulliver's Travels,Jonathan Swift,1726.0,1810,226,1,1,fiction,3.613636363636364,88.0,276,297,8.72,299.0,1,1.0722,0.06518518518518518,0.2975016436554898,2.4174,1
The Call of the Wild,Jack London,1903.0,1700,114,1,1,fiction,3.949367088607595,79.0,252,220,8.16,122.0,1,0.8696,0.05851851851851852,0.2794214332675871,2.4831,1
King Lear,William Shakespeare,1608.0,1614,112,1,1,fiction,4.0,20.0,390,186,9.44,300.0,1,0.4757,0.014814814814814815,0.26528599605522685,2.3151,1
The Secret Garden,Frances Hodgson Burnett,1911.0,1594,98,1,1,fiction,3.933333333333333,90.0,309,336,7.55,114.0,1,1.0839,0.06666666666666667,0.26199868507560814,2.4617,1
